====> NAME: 康斯托克控股, CODE: CHCI, BUY PE: 100.000000, NOW PE: 5.260000, 总市值: 76541077.000000, PARENT_HOLDER_NETPROFIT: 14560000.000000, ROE_AVG: 32.505442, count: 1
====> NAME: Catalyst Pharmaceuticals Inc, CODE: CPRX, BUY PE: 22.000000, NOW PE: 17.960000, 总市值: 2942725141.000000, PARENT_HOLDER_NETPROFIT: 163889000.000000, ROE_AVG: 29.383611, count: 3
====> NAME: 三合智能, CODE: STEC, BUY PE: 17.000000, NOW PE: -0.290000, 总市值: 40880000.000000, PARENT_HOLDER_NETPROFIT: 129881000.000000, ROE_AVG: 12.488534, count: 7
====> NAME: 大健云仓, CODE: GCT, BUY PE: 100.000000, NOW PE: 4.800000, 总市值: 603399442.000000, PARENT_HOLDER_NETPROFIT: 125808000.000000, ROE_AVG: 36.170797, count: 11
====> NAME: 奥洛兹美医疗, CODE: HALO, BUY PE: 100.000000, NOW PE: 18.130000, 总市值: 8049430480.000000, PARENT_HOLDER_NETPROFIT: 444091000.000000, ROE_AVG: 198.419227, count: 12
====> NAME: Semler Scientific Inc, CODE: SMLR, BUY PE: 20.000000, NOW PE: 9.200000, 总市值: 376374181.000000, PARENT_HOLDER_NETPROFIT: 40899000.000000, ROE_AVG: 27.036639, count: 13
====> NAME: Sterling Infrastructure Inc, CODE: STRL, BUY PE: 33.000000, NOW PE: 15.050000, 总市值: 3875269287.000000, PARENT_HOLDER_NETPROFIT: 257461000.000000, ROE_AVG: 36.084384, count: 20
====> NAME: Perdoceo Education Corp, CODE: PRDO, BUY PE: 17.000000, NOW PE: 10.980000, 总市值: 1620172880.000000, PARENT_HOLDER_NETPROFIT: 147590000.000000, ROE_AVG: 16.390175, count: 21
====> NAME: 特许通讯, CODE: CHTR, BUY PE: 22.000000, NOW PE: 11.340000, 总市值: 57658640315.000000, PARENT_HOLDER_NETPROFIT: 5083000000.000000, ROE_AVG: 38.113448, count: 23
====> NAME: 金宝汤, CODE: CPB, BUY PE: 100.000000, NOW PE: 21.790000, 总市值: 11354765457.000000, PARENT_HOLDER_NETPROFIT: 567000000.000000, ROE_AVG: 15.211268, count: 25
====> NAME: Ituran Location and Control Ltd, CODE: ITRN, BUY PE: 100.000000, NOW PE: 13.710000, 总市值: 735664588.000000, PARENT_HOLDER_NETPROFIT: 53654000.000000, ROE_AVG: 29.834214, count: 26
